Continent,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Non-methane volatile organic compounds (NMVOC) emissions
Asia,1966,9125978.46535,16389111.468461001,140111757.7832,1472219.3641010001,12123225.36014,23284640.1822
Asia,1967,9667329.853160001,16622526.53439,141702949.2608,1487444.17212,12812182.223240001,23854644.55576
Asia,1968,10832836.40264,17805322.812245,149115427.6594,1574841.59247,13766235.21675,25775996.5887
Asia,1969,12002766.40382,19341900.328994,157047372.5056,1658599.69796,14188089.00263,27543281.63896
Asia,1970,13396549.15351,21782131.74738,169034993.7428,1760923.429925,15812661.251090001,30866926.3502
Asia,1971,14229891.7704,22354356.572074,175192460.57279998,1874797.2172810002,16179107.70099,32002956.370500002
Asia,1972,14897372.4995,22815753.467445,181081487.6945,1964624.579658,16542982.52363,33627534.501
Asia,1973,16075198.97365,23716835.018685002,187067295.6396,2044413.626895,16947785.00378,35726018.6177
Asia,1974,16503303.6703,23615800.495514,192305329.59829998,2081518.0670999999,17274569.51149,36623489.5102
Asia,1975,17293803.08835,24979169.10902,202287232.1336,2186338.86666,17661040.85243,36847829.232
Asia,1976,18040725.80078,25342640.06295,206143114.5642,2277620.577296,18005139.55912,38480660.0444
Asia,1977,19239850.2152,27161857.933679998,214671079.7353,2391132.070305,18426591.02301,39528740.81686
Asia,1978,20397025.1695,29019973.13975,224646143.8223,2471562.62372,18878884.97011,40309925.6082
Asia,1979,21312579.00206,30074365.807150003,232485670.44,2511594.7890999997,19309894.573259998,41387900.56864
Asia,1980,21603618.283099998,29761151.75204,235919680.8041,2456529.3783299997,19554422.84296,40677967.80916
Asia,1981,21533537.3175,29832908.42377,237107199.29,2443094.9240650004,19903985.75387,39933373.2359
Asia,1982,21856203.0151,30423463.05087,242365492.76020002,2461859.4513299996,20297414.43313,39644730.74295
Asia,1983,22717739.9041,31655057.23754,247118416.67569998,2531876.211806,20676626.47276,40142363.0715
Asia,1984,23717236.310200002,33108461.67054,254541500.0001,2637771.2908059997,21100226.05227,41158345.7055
Asia,1985,24116536.1971,34172394.68408,264792222.5535,2681150.0733999996,21453805.08106,41705538.9039
Asia,1986,24959547.2023,35294388.8441,269933361.0373,2748389.07431,21946648.29713,43285239.5142
Asia,1987,26469103.4966,36616053.44146,278463876.174,2832309.1440000003,22400172.972430002,44817835.876099996
Asia,1988,27948379.5839,38335341.4914,287987957.4634,2940486.5389,22837746.455229998,47028971.4302
Asia,1989,29210076.7851,39353827.94956,293585354.6687,3022274.9878,23311097.81444,48771355.5655
Asia,1990,30119527.9562,41808133.18615,300543204.941,3128415.95747,23714095.8234,50379412.9268
Asia,1991,31138864.9569,43017864.9599,305794700.5723,3176938.76066,24094869.6614,51844745.041
Asia,1992,32389600.1886,43279512.3126,307362386.5013,3166582.70788,24576830.687880002,53372531.2525
Asia,1993,33911946.979,44547759.5584,315830803.0484,3275091.35749,24916865.37248,55527715.3693
Asia,1994,34748781.464200005,45930016.85,312903219.425,3400849.28617,25209608.11677,55967375.4287
Asia,1995,36724932.3888,47921185.2607,320419360.2476,3604617.72544,25532572.44508,57724883.7424
Asia,1996,38265041.9401,47379214.8362,315480025.673,3520716.86652,25938990.99383,58989362.2153
Asia,1997,38078146.9895,47675701.7124,323500983.0273,3597434.56445,26345377.94355,60254635.8635
Asia,1998,38070923.8305,46217128.5903,318755160.352,3366853.4338700003,26634695.50183,60340448.366
Asia,1999,38788921.4175,44422953.8283,317157244.557,3299129.6068399996,26921157.49766,60778657.689
Asia,2000,40260857.8992,45174600.412599996,321753605.71999997,3231951.0049400004,27162706.14407,62303805.921900004
Asia,2001,40845501.3773,46687453.729,318282412.518,3265261.93148,27309417.31962,62090321.7424
Asia,2002,42243883.724,48320334.5423,317120437.616,3290227.48868,27955074.30675,62687989.5292
Asia,2003,45040589.7655,52107151.625300005,327389734.232,3362138.4107399997,28209256.599579997,64263550.2335
Asia,2004,48640941.919,57734755.370799996,337281945.42700005,3489114.3967299997,28818127.7003,66420213.4159
Asia,2005,50994826.258,63849878.1453,345146147.609,3585482.38064,29403578.62537,67816344.84
Asia,2006,53574957.451000005,66213787.8985,349721236.079,3634235.6734100003,30345391.53264,68531195.6013
Asia,2007,56173239.491000004,66356698.2204,349918141.257,3662075.69769,30849300.7097,68814405.7996
Asia,2008,57145208.195,64261814.4387,342569855.03599995,3698504.15837,31293060.334999997,69221102.3698
Asia,2009,57656404.1745,61557974.279300004,344427983.836,3716934.78838,31598408.6971,69512347.2948
Asia,2010,58315110.3275,59773443.28,344816940.613,3782851.78688,31857735.3615,71718454.3172
Asia,2011,61533991.156,61579810.025699995,341522547.504,3762156.44544,32426921.4517,72993740.5096
Asia,2012,63410632.790599994,61292103.8883,339791176.439,3822806.40498,32930567.4121,74589725.4866
Asia,2013,62352775.8933,58397575.6246,337313678.365,3713593.97208,33115998.6219,75018839.4198
Asia,2014,60928980.3134,54851395.743599996,325388219.0783,3597634.00808,33258044.38656,76066776.6755
Asia,2015,59751578.48,51654332.4424,314648797.3135,3437180.8039800003,33393159.89897,75812794.4184
Asia,2016,58607536.986,49141877.2015,300308702.2477,3327589.2542,33668122.80107,76038157.4024
Asia,2017,58824886.8705,47551137.755,293768747.08,3326891.99055,33849801.5762,76236577.071
Asia,2018,58583679.165,46660805.9395,285806622.917,3253636.68835,34129034.907,75691440.167
Asia,2019,57125713.885400005,45840073.372,276595361.25560004,3146592.9059800003,34400114.48415,74597824.5264
Asia,2020,54650466.1314,43690604.1673,267326891.66599998,3055250.42668,34560282.03394,72533850.696
Asia,2021,55798908.208399996,45271875.274799995,264003459.78699997,3053743.80958,34819901.99766,72379262.7289
Asia,2022,56026959.096,46771064.5543,259986371.7462,3036512.70793,35071723.8303,71653490.5078
Europe,1922,3006767.6263220003,13989459.4811766,61823145.10603,579899.3728415,3366183.749718,7348705.40028
Europe,1923,2643229.777618,11951716.6600304,63851993.95774,609814.2965917999,3404345.39078,7332580.7333349995
Europe,1924,3109398.804511,13919485.8235429,67683880.8602,671935.3240883,3436084.932497,7677596.60846
Europe,1925,3288409.9070236003,13970801.5165463,67529103.7976,668956.0865665,3567596.801965,7792889.085200001
Europe,1926,3098952.789346,12970382.4672264,64318934.133200005,607462.1456490001,3660928.069418,7606118.71727
Europe,1927,3558648.3918215,15512951.7588052,69546638.6627,700007.3550335,3719162.407684,8031394.67789
Europe,1928,3607790.300007,15661809.433911301,68534934.2017,680186.741406,3761699.613732,8039497.06445
Europe,1929,3898602.1808895003,16866855.0606599,70789422.3862,711779.60983,3795865.2831969997,8283560.62778
Europe,1930,3775520.3218047,15697599.651797,68262969.69946,667381.1793043,3797682.572045,8344559.3494
Europe,1931,3655933.973205,14597899.8990933,66570167.285,642772.2982151001,3826197.062051,8302551.308355
Europe,1932,3489851.3063907,13898979.4290091,64658010.6488,616234.7899974,3826961.819363,8159519.71855
Europe,1933,3645679.9662185,14200174.8243724,65558422.35813,631275.1198188,3829449.236969,8281039.1402900005
Europe,1934,3997913.677482,15574820.9852273,67828961.8242,669757.6716929,3828889.712396,8550521.96639
