Year,Continent,Total_Pollutants
1987,Africa,67502583.864592
1987,Asia,411599351.10459
1987,Europe,209899832.7600125
1987,North America,242550861.31761995
1987,Oceania,11046358.31244761
1987,South America,36832735.088958
1988,Africa,69543612.75413
1988,Asia,427078882.96303
1988,Europe,207751280.2529166
1988,North America,241291179.57026374
1988,Oceania,11391335.60927374
1988,South America,37333077.6002033
1989,Africa,71426081.803733
1989,Asia,437253987.7711
1989,Europe,204849516.85227805
1989,North America,234127181.11668357
1989,Oceania,11815934.589157252
1989,South America,37955386.85100315
1990,Africa,72559919.994313
1990,Asia,449692790.79102
1990,Europe,202114839.26544318
1990,North America,219821794.00454953
1990,Oceania,12272804.085127199
1990,South America,36795480.377293
1991,Africa,74001075.85539
1991,Asia,459067983.95216
1991,Europe,190267976.05843982
1991,North America,214828671.56656978
1991,Oceania,11775028.00971003
1991,South America,36901151.38878161
1992,Africa,75483899.32453
1992,Asia,464147443.65076
1992,Europe,176631230.2157322
1992,North America,211280890.1398509
1992,Oceania,11842291.84512028
1992,South America,36934272.9182342
1993,Africa,75839377.83179
1993,Asia,478010181.68507
1993,Europe,167349605.92374554
1993,North America,204759190.15438512
1993,Oceania,11828281.8799585
1993,South America,37645424.7160826
1994,Africa,78631125.11738999
1994,Asia,478159850.57084
1994,Europe,151500875.7794687
1994,North America,202794999.66731688
1994,Oceania,11661016.035789408
1994,South America,38003018.1356179
1995,Africa,80956069.381643
1995,Asia,491927551.81002
1995,Europe,143947759.41131082
1995,North America,197031624.7044634
1995,Oceania,11541883.7460333
1995,South America,38873900.8355883
1996,Africa,82831684.07366
1996,Asia,489573352.52495
1996,Europe,138000913.80714136
1996,North America,188524412.9477888
1996,Oceania,11344034.689377079
1996,South America,39421980.539986596
1997,Africa,84012722.614255
1997,Asia,499452280.10069996
1997,Europe,130806866.77998379
1997,North America,187841181.4862946
1997,Oceania,10988838.39496646
1997,South America,39379392.4978098
1998,Africa,86669005.06855
1998,Asia,493385210.0745
1998,Europe,124667728.43599318
1998,North America,185708789.7550201
1998,Oceania,10874434.27746223
1998,South America,38855693.7432756
1999,Africa,87293028.81826
1999,Asia,491368064.5963
1999,Europe,118473252.75230077
1999,North America,175509650.78834412
1999,Oceania,10873995.83155776
1999,South America,38646816.1767886
2000,Africa,88655820.06275
2000,Asia,499887527.10271
2000,Europe,112814543.29354076
2000,North America,174044998.1635102
2000,Oceania,10861212.70118646
2000,South America,38195705.4137681
2001,Africa,92880195.781834
2001,Asia,498480368.6178
2001,Europe,109369870.45230655
2001,North America,168248731.0555523
2001,Oceania,10302853.26955727
2001,South America,37648070.905061804
2002,Africa,93907150.30594
2002,Asia,501617947.20693004
2002,Europe,105541928.1885811
2002,North America,152359229.3767334
2002,Oceania,10470330.463055601
2002,South America,37516898.0773302
2003,Africa,95275938.12329
2003,Asia,520372420.86661994
2003,Europe,103974153.78372702
2003,North America,147002121.2618404
2003,Oceania,10139653.9330215
2003,South America,38542794.6878417
2004,Africa,99015710.042274
2004,Asia,542385098.2297299
2004,Europe,100899311.39966498
2004,North America,140751921.2283633
2004,Oceania,10003188.54025246
2004,South America,40116279.8513875
2005,Africa,101290454.75777
2005,Asia,560796257.8583101
2005,Europe,97534326.10350141
2005,North America,137849184.6592332
2005,Oceania,9575176.22879265
2005,South America,39781443.6996767
2006,Africa,102537903.05951999
2006,Asia,572020804.23585
2006,Europe,96165425.55644801
2006,North America,130903659.717868
2006,Oceania,9388021.907322971
2006,South America,38991786.7266129
2007,Africa,104399624.271294
2007,Asia,575773861.17539
2007,Europe,94420959.66581702
2007,North America,125442916.100541
2007,Oceania,9209616.22516197
2007,South America,39401236.6811315
2008,Africa,107466822.138575
2008,Asia,568189544.5328699
2008,Europe,91067406.23946702
2008,North America,117744306.821736
2008,Oceania,9099082.1453737
2008,South America,39863458.6389545
2009,Africa,108461454.98943
2009,Asia,568470053.07008
2009,Europe,84167353.80303662
2009,North America,107849932.372729
2009,Oceania,8535411.29173954
2009,South America,37678643.4756807
2010,Africa,111672235.22169499
2010,Asia,570264535.68608
2010,Europe,84987327.39682296
2010,North America,102117679.9425785
2010,Oceania,8233620.041636199
2010,South America,39909320.2867432
2011,Africa,113651855.39535001
2011,Asia,573819167.09244
2011,Europe,82538159.24352966
2011,North America,102189024.048574
2011,Oceania,8194407.5544443205
2011,South America,40088478.09530111
2012,Africa,119353312.6085
2012,Asia,575837012.4215801
2012,Europe,82069417.73922946
2012,North America,95127198.2157953
2012,Oceania,8077948.16247424
2012,South America,40772144.2383609
2013,Africa,122418031.01956
2013,Asia,569912461.89668
2013,Europe,78827866.4063504
2013,North America,95196216.99104151
2013,Oceania,8072653.559730601
2013,South America,40607237.4578774
2014,Africa,124550154.729105
2014,Asia,554091050.2054399
2014,Europe,75367753.10268399
2014,North America,92571102.15849109
2014,Oceania,8022412.524058119
2014,South America,40250085.3796403
2015,Africa,125054073.85447
2015,Asia,538697843.35725
2015,Europe,73986907.45793828
2015,North America,89862182.5000739
2015,Oceania,7831399.42232638
2015,South America,39380880.425279796
2016,Africa,127667070.84635
2016,Asia,521091985.89287
2016,Europe,72214172.46647929
2016,North America,84292827.7583731
2016,Oceania,7607626.19735313
2016,South America,38270208.9794396
2017,Africa,129744401.43235
2017,Asia,513558042.34325
2017,Europe,70761014.75688589
2017,North America,82155724.47369453
2017,Oceania,7535492.53017265
2017,South America,38003004.927119404
2018,Africa,129352973.77239
2018,Asia,504125219.78385
2018,Europe,70136490.76231419
2018,North America,79568749.3949154
2018,Oceania,7456290.80237913
2018,South America,37388519.430478804
2019,Africa,130263907.420086
2019,Asia,491705680.42953
2019,Europe,68238025.83416109
2019,North America,76982611.58019485
2019,Oceania,7423517.97607776
2019,South America,36745326.2536436
2020,Africa,131357689.77772
2020,Asia,475817345.12132
2020,Europe,64610343.467716984
2020,North America,69369428.6439901
2020,Oceania,6926277.74255862
2020,South America,34998228.658997804
2021,Africa,133963350.04486999
2021,Asia,475327151.80634
2021,Europe,66001511.636609584
2021,North America,70661169.0556174
2021,Oceania,7020694.438400711
2021,South America,36119392.8462823
2022,Africa,134775720.75375
2022,Asia,472546122.44253
2022,Europe,64257444.45246059
2022,North America,70197264.41455008
2022,Oceania,6890809.42988279
2022,South America,35789325.5618158
